title,description
Avengers,Superheroes team up to save the world from aliens.
Iron Man,A billionaire builds a powerful suit and becomes a hero.
Captain America,A super soldier fights for justice and protects the world.
Thor,A powerful god fights evil threats from different worlds.
Hulk,A scientist transforms into a powerful green creature.
Guardians of the Galaxy,A group of misfits save the galaxy from danger.
Justice League,Superheroes unite to protect Earth from villains.
Spider-Man,A young hero fights crime using his spider powers.
Batman,Dark knight protects Gotham from criminals.
Superman,Alien hero protects Earth with superpowers.
Spider Man,A young hero fights crime using his spider powers.
SpiderMan,A young hero fights crime using his spider powers.
Iron-Man,A billionaire builds a powerful suit and becomes a hero.
IronMan,A billionaire builds a powerful suit and becomes a hero.
